date,location,total_sales,transaction_count,customer_count,labor_hours,labor_cost,food_cost,waste_amount,drive_thru_time,order_accuracy,customer_satisfaction,weather,events,notes,peak_hour_sales,mobile_orders,promotional_impact,staff_count,inventory_turnover
2025-08-17,DQ001,4850.75,247,198,48.5,728.50,1455.25,125.00,125,94.5,4.2,Sunny,None,Premium weekend performance with 15% growth,1485.25,89,Premium Blizzard promotion boosted sales,12,2.3
2025-08-16,DQ001,3240.50,189,156,42.0,630.00,972.15,89.50,118,96.8,4.4,Partly Cloudy,None,Consistent weekday operations,968.75,67,Back-to-school marketing campaign,9,1.8
2025-08-15,DQ001,2890.25,165,142,38.5,577.50,867.08,67.80,112,97.2,4.3,Overcast,Local Festival,Festival traffic drove evening surge,925.50,52,Festival partnership increased visibility,8,1.6
2025-08-17,DQ002,5120.40,268,215,52.0,780.00,1536.12,142.30,132,93.8,4.1,Sunny,None,Record-breaking Saturday with new staff,1687.35,156,DQ Rewards program drove repeat visits,14,2.8
2025-08-16,DQ002,3680.90,198,167,45.5,682.50,1104.27,98.75,124,95.2,4.5,Partly Cloudy,None,Strong performance despite weather,1215.75,98,New flavor launch exceeded expectations,11,2.1
2025-08-15,DQ002,3156.80,172,145,41.0,615.00,946.04,78.90,119,96.1,4.3,Overcast,Local Festival,Strategic festival positioning paid off,1034.45,76,Community event partnership,10,1.9
2025-08-14,DQ001,2756.45,158,134,36.0,540.00,826.94,55.30,108,97.8,4.5,Clear,None,Textbook operational efficiency,856.75,43,Loyalty program retention,8,1.5
2025-08-14,DQ002,2945.60,169,142,38.5,577.50,883.68,62.45,114,96.5,4.4,Clear,None,Solid baseline performance,967.25,58,Social media campaign impact,9,1.7
2025-08-13,DQ001,2987.30,167,138,39.0,585.00,896.19,71.20,115,96.2,4.3,Sunny,None,Mid-week consistency with growth trends,924.65,61,Student discount program,9,1.8
2025-08-13,DQ002,3298.50,182,155,43.0,645.00,989.55,85.40,121,95.1,4.2,Sunny,None,Sustained growth momentum,1082.35,87,Delivery partnership expansion,10,2.0
2025-08-12,DQ001,3145.80,179,148,40.5,607.50,943.74,76.85,113,96.9,4.4,Partly Cloudy,None,Strong recovery from Monday dip,1031.75,72,Digital marketing campaign,9,1.9
2025-08-12,DQ002,3456.90,194,164,44.5,667.50,1037.07,91.25,119,94.8,4.3,Partly Cloudy,None,Excellent customer acquisition,1135.25,103,Influencer partnership boost,11,2.1
2025-08-17,DQ003,4125.60,221,187,46.0,690.00,1237.68,118.75,128,95.1,4.3,Sunny,None,Grand opening month exceeding projections,1356.85,124,Grand opening promotions,13,2.5
2025-08-16,DQ003,2985.40,165,139,38.0,570.00,895.62,82.15,122,96.4,4.5,Partly Cloudy,None,Building momentum in new market,981.25,89,Local media coverage,10,1.8
2025-08-15,DQ003,2756.35,158,133,36.5,547.50,826.91,71.45,117,97.1,4.4,Overcast,Local Festival,Festival synergy with grand opening,906.30,73,Community engagement events,9,1.7
